epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1177.43,1.31483,1.12137,1.34582,0.58485,0.60787,0.63035,0.36634,1.48045,1.24412,1.28595,0.000741194,0.000741194,0.000741194
43,1204.9,1.34817,1.1458,1.36101,0.58406,0.59423,0.62301,0.343,1.58878,1.26536,1.34166,0.000729725,0.000729725,0.000729725
44,1231.4,1.3126,1.15167,1.34056,0.6061,0.62007,0.64897,0.33451,1.6517,1.2856,1.38086,0.000718103,0.000718103,0.000718103
45,1258.14,1.30629,1.11128,1.33638,0.60993,0.62058,0.6515,0.36044,1.56194,1.25581,1.31127,0.000706335,0.000706335,0.000706335
46,1284.98,1.31111,1.10993,1.34132,0.55571,0.61562,0.61743,0.33284,1.60909,1.25773,1.32806,0.000694428,0.000694428,0.000694428
47,1312.1,1.33115,1.12544,1.35794,0.62779,0.61562,0.66501,0.37796,1.4817,1.17097,1.2787,0.000682392,0.000682392,0.000682392
48,1339.76,1.32434,1.14031,1.35238,0.61541,0.62089,0.66637,0.36011,1.56876,1.29702,1.32333,0.000670234,0.000670234,0.000670234
49,1366.1,1.30343,1.13332,1.34763,0.59422,0.61191,0.64417,0.35464,1.58014,1.22161,1.31852,0.000657963,0.000657963,0.000657963
50,1392.67,1.29383,1.09577,1.33148,0.58204,0.60539,0.62922,0.32205,1.7128,1.28972,1.39736,0.000645588,0.000645588,0.000645588
51,1419.5,1.3135,1.09797,1.34031,0.57621,0.60144,0.63218,0.34397,1.56537,1.25833,1.29674,0.000633115,0.000633115,0.000633115
52,1446.5,1.31506,1.11953,1.33409,0.56516,0.61686,0.62711,0.35022,1.54906,1.25644,1.28164,0.000620555,0.000620555,0.000620555
53,1473.8,1.29903,1.10962,1.3389,0.55985,0.63019,0.63313,0.34758,1.56654,1.30525,1.32152,0.000607916,0.000607916,0.000607916
54,1500.57,1.28514,1.10143,1.32993,0.60122,0.6119,0.64174,0.34367,1.6433,1.24631,1.37433,0.000595207,0.000595207,0.000595207
55,1526.9,1.29365,1.10734,1.33939,0.57269,0.62771,0.63708,0.35234,1.58807,1.25831,1.32106,0.000582435,0.000582435,0.000582435
56,1553.41,1.29494,1.09604,1.3321,0.60567,0.64259,0.66123,0.354,1.64225,1.22437,1.34764,0.00056961,0.00056961,0.00056961
57,61.9076,1.29479,1.07992,1.33167,0.57623,0.61779,0.63751,0.32896,1.76854,1.24951,1.40543,0.000556742,0.000556742,0.000556742
58,92.7116,1.2977,1.08967,1.32523,0.60107,0.63732,0.66195,0.37285,1.5216,1.1969,1.292,0.000543837,0.000543837,0.000543837
59,124.613,1.30409,1.1057,1.34071,0.58165,0.61748,0.63356,0.33781,1.58916,1.28467,1.3103,0.000530906,0.000530906,0.000530906
60,155.362,1.27282,1.05332,1.31001,0.57328,0.60634,0.6374,0.3562,1.54855,1.23544,1.29874,0.000517958,0.000517958,0.000517958
61,186.104,1.2696,1.07236,1.31373,0.60098,0.62516,0.65899,0.378,1.46262,1.19873,1.2624,0.000505,0.000505,0.000505
62,221.906,1.29349,1.06186,1.33595,0.57831,0.63236,0.65529,0.35811,1.56416,1.19508,1.31043,0.000492042,0.000492042,0.000492042
63,252.62,1.29223,1.07878,1.32965,0.59891,0.60787,0.64547,0.31437,1.7317,1.25739,1.382,0.000479094,0.000479094,0.000479094
64,283.142,1.29312,1.05351,1.32776,0.60776,0.63879,0.67189,0.37488,1.50849,1.16728,1.27682,0.000466163,0.000466163,0.000466163
65,313.79,1.27003,1.06334,1.30865,0.61365,0.60068,0.65446,0.37234,1.47719,1.21479,1.27641,0.000453258,0.000453258,0.000453258
66,343.826,1.25154,1.06312,1.30898,0.60772,0.60892,0.65817,0.38426,1.44223,1.23929,1.25832,0.00044039,0.00044039,0.00044039
67,377.078,1.26184,1.04221,1.31255,0.63271,0.61097,0.67533,0.38455,1.46475,1.25443,1.25762,0.000427565,0.000427565,0.000427565
68,409.249,1.26601,1.05613,1.31666,0.60591,0.63391,0.67538,0.3787,1.50905,1.17299,1.29209,0.000414793,0.000414793,0.000414793
69,440.149,1.25939,1.04395,1.31154,0.59592,0.64352,0.6701,0.38746,1.43304,1.16497,1.24922,0.000402084,0.000402084,0.000402084
70,472.517,1.24309,1.04043,1.30945,0.62393,0.63329,0.6827,0.39013,1.44398,1.16779,1.25568,0.000389445,0.000389445,0.000389445
71,505.418,1.24186,1.02956,1.29862,0.57473,0.62714,0.6391,0.36696,1.48067,1.21162,1.26247,0.000376885,0.000376885,0.000376885
72,535.779,1.25895,1.03644,1.31055,0.6186,0.63763,0.66114,0.3646,1.54439,1.23546,1.29776,0.000364412,0.000364412,0.000364412
73,566.661,1.26969,1.04356,1.31295,0.64931,0.62988,0.69386,0.39224,1.49703,1.1209,1.27789,0.000352037,0.000352037,0.000352037
74,599.323,1.27145,1.03961,1.30391,0.60678,0.62647,0.65545,0.36471,1.52918,1.20487,1.29008,0.000339766,0.000339766,0.000339766
75,630.379,1.24359,1.03454,1.298,0.63002,0.64166,0.68449,0.3864,1.516,1.16003,1.28856,0.000327608,0.000327608,0.000327608
76,661.041,1.22228,1.00219,1.28956,0.64829,0.63481,0.6959,0.39633,1.46709,1.20244,1.26872,0.000315572,0.000315572,0.000315572
77,693.281,1.2456,1.00941,1.28541,0.59821,0.63515,0.65974,0.37322,1.51174,1.16737,1.2799,0.000303665,0.000303665,0.000303665
78,724.018,1.25323,1.03241,1.29817,0.60369,0.64011,0.67458,0.37009,1.57304,1.15401,1.30917,0.000291897,0.000291897,0.000291897
79,754.733,1.24635,1.02167,1.30352,0.61445,0.64259,0.67261,0.39444,1.41827,1.13815,1.2376,0.000280275,0.000280275,0.000280275
80,785.108,1.22955,1.0229,1.28951,0.61922,0.65683,0.68154,0.38571,1.50856,1.15437,1.27244,0.000268806,0.000268806,0.000268806
81,816.373,1.21729,1.00847,1.2775,0.64862,0.63401,0.69501,0.38721,1.50935,1.1384,1.28468,0.0002575,0.0002575,0.0002575
82,846.99,1.21879,1.0053,1.2975,0.63295,0.63556,0.68022,0.38916,1.48061,1.14798,1.26234,0.000246363,0.000246363,0.000246363
83,877.923,1.2225,1.00259,1.29659,0.62755,0.6372,0.67864,0.38634,1.49876,1.17864,1.27212,0.000235404,0.000235404,0.000235404
84,909.113,1.23136,1.01204,1.29294,0.64186,0.63453,0.68629,0.39271,1.48603,1.13838,1.26543,0.000224629,0.000224629,0.000224629
